second,phase,offered_rps,attempted,success,errors,error_rate,p50_ms,p95_ms,p99_ms,mean_ms,scheduler_lateness_p95_ms
47,high,496,496,0,496,1.0,18.611948499710707,19.280182249985955,25.659777998953384,18.765321211646786,1.1278341703473416
48,high,489,489,0,489,1.0,18.512857999667176,19.178021399056888,19.63838583949837,18.554477914136378,1.0320917113858743
49,high,490,490,0,490,1.0,18.625913499818125,19.21862350027368,32.644742069023806,18.888767871404916,1.0882181970373495
50,high,504,504,0,504,1.0,18.62597499984986,19.43998754968561,20.422628889773478,18.673131396795608,1.3776698504443634
51,high,488,488,0,488,1.0,18.61930700033554,19.237878650710627,19.695333861200197,18.631205918031586,1.0816184514624183
52,high,490,490,0,490,1.0,18.621791999976267,19.29066034963398,22.217666389697147,18.70248720409721,1.11778603586572
53,high,485,485,0,485,1.0,18.595587998788687,19.28604540080414,19.70796844077995,20.80036693403543,1.0547654448600952
54,high,509,509,0,509,1.0,18.557392000730033,19.226220199925592,19.501305000594584,18.591432677792493,1.0826730878761737
55,high,492,492,2,490,0.9959349593495935,18.64642799955618,20.33333665040118,1012.5532098001345,35.71482227839883,1.5552785941508769
56,high,487,487,0,487,1.0,18.61402499889664,19.26289149960212,19.753888321502018,18.62027570839767,1.0254390985210193
57,high,504,504,248,256,0.5079365079365079,19.311367500449705,563.2661342498978,609.7048959986932,179.95830272225103,1.0871327305721936
58,high,507,507,490,17,0.03353057199211045,1559.2415920000349,4141.1834127002285,5947.7811519998795,1714.8360594951062,1.086916384701908
59,high,504,504,401,103,0.20436507936507936,2848.923736499273,5940.616921200035,5989.92919255923,3328.3965310575363,1.2817374571568538
60,high,501,501,397,104,0.20758483033932135,4345.254961999672,5775.330353000754,5819.941457999448,4457.15117211579,1.2076356633770047
61,high,501,501,0,501,1.0,5517.1264029995655,5961.183000999881,6001.055098000506,5516.204187874274,1.1705652905220632
62,high,507,507,0,507,1.0,5523.252261999005,5962.2792955004115,5999.935592979309,5507.102193564163,27.756274070816268
63,high,494,494,0,494,1.0,5523.175560499112,5968.171119350518,6009.956508949745,5513.386881746953,1.1307711457448022
64,high,510,510,0,510,1.0,5523.041530000228,5976.498321800773,6011.6307289103315,5519.910080554908,1.1541434101673076
65,high,506,506,0,506,1.0,5531.053199500093,5962.440652499936,6003.757312999915,5514.233179960523,65.11401969373765
66,high,511,511,0,511,1.0,5519.1199319997395,5998.0025834993285,6018.8195019993145,5530.318476099808,1.2530270669230958
67,high,512,512,0,512,1.0,5564.832279999791,5961.80876894914,5971.951777819668,5534.222460863272,68.85979330063489
68,high,510,510,0,510,1.0,5529.234412000733,5970.260212149969,5984.487913848479,5510.078067870617,16.18211310433253
69,high,501,501,3,498,0.9940119760479041,5523.1828699998005,5993.390759000249,6015.141360001508,5528.5439783712245,1.7334503008896718
70,high,501,501,22,479,0.9560878243512974,5544.111497998529,5959.337780999704,5978.499671000463,5480.413078900178,86.57657153344189
