relative_second,timestamp_utc,target_units,allocated_units,ready_units,pending_actions,allocated_vcpu,allocated_memory_gib,scale_direction,collector_error
345.0818855810003,2026-09-02T19:01:22.479617+00:00,1,1,1,False,2.0,2.0,,
350.0831068350003,2026-09-02T19:01:27.276838+00:00,1,1,1,False,2.0,2.0,,
355.0839488020001,2026-09-02T19:01:32.622399+00:00,1,1,1,False,2.0,2.0,,
360.08515129800026,2026-09-02T19:01:37.564314+00:00,1,1,1,False,2.0,2.0,,
365.0863194230001,2026-09-02T19:01:42.493473+00:00,1,1,1,False,2.0,2.0,,
370.08736303700016,2026-09-02T19:01:47.353170+00:00,1,1,1,False,2.0,2.0,,
375.08769297300023,2026-09-02T19:01:52.245160+00:00,1,1,1,False,2.0,2.0,,
380.08897251800045,2026-09-02T19:01:57.133138+00:00,1,1,1,False,2.0,2.0,,
385.09001369700036,2026-09-02T19:02:02.400047+00:00,1,1,1,False,2.0,2.0,,
390.0909587660003,2026-09-02T19:02:07.388939+00:00,1,1,1,False,2.0,2.0,,
395.0943394120004,2026-09-02T19:02:12.318515+00:00,1,1,1,False,2.0,2.0,,
400.0979914520003,2026-09-02T19:02:17.136842+00:00,1,1,1,False,2.0,2.0,,
405.1015531580001,2026-09-02T19:02:22.127997+00:00,1,1,1,False,2.0,2.0,,
410.10669422900037,2026-09-02T19:02:27.105708+00:00,1,1,1,False,2.0,2.0,,
415.11043215300015,2026-09-02T19:02:32.359671+00:00,1,1,1,False,2.0,2.0,,
420.1140761810002,2026-09-02T19:02:37.553279+00:00,1,1,1,False,2.0,2.0,,
