second,phase,offered_rps,attempted,success,errors,error_rate,p50_ms,p95_ms,p99_ms,mean_ms,scheduler_lateness_p95_ms
19,high,504,504,2,502,0.996031746031746,5010.407395500124,5938.661270500143,6002.084294529959,3588.176510793642,1.223738952421627
20,high,497,497,0,497,1.0,4520.832699000039,5902.609091400063,5983.007609360102,3465.837790873243,2.997854116892993
21,high,499,499,1,498,0.9979959919839679,3770.6164599999283,5920.727466699964,5990.602793600046,3405.346177831665,12.853034607132948
22,high,501,501,0,501,1.0,2983.8956090002284,5904.484536999917,5959.85538900004,3126.720692235534,126.70624770271388
23,high,493,493,0,493,1.0,2419.2586889998893,5918.41326040003,5975.971805760328,2867.5020543407627,1.7773906756701763
24,high,490,490,0,490,1.0,21.117903499771273,5794.368110199662,5968.98922288995,1174.3730937836665,1.4057136817882574
25,high,502,502,0,502,1.0,21.61374249999426,5471.164067199879,5871.481099740067,635.1288647211229,5.739983898433817
26,high,488,488,0,488,1.0,21.66672899988953,3718.323172400008,5852.235476729879,318.5994212848393,5.7422770836183
27,high,503,503,0,503,1.0,21.061216000362037,99.0126831001362,244.61890799995683,33.42022312327078,51.6437929272342
28,high,509,509,0,509,1.0,20.81015900012062,72.98406019999675,228.9862120397811,29.586091752455197,1.3273370846945913
29,high,510,510,0,510,1.0,20.855411999946227,26.28230915013319,226.63142436973885,24.691218505867987,1.4136527365053557
30,high,493,493,0,493,1.0,20.98675999968691,24.542344800102,230.34890464001364,26.559969985803782,1.5078267976605275
31,high,497,497,0,497,1.0,21.23567099988577,45.734494799944514,231.21984123974474,28.809746903429758,14.127068928883087
32,high,513,513,0,513,1.0,21.02466300038941,26.80223899978955,32.29155135999463,23.031629865505543,6.938651284417573
33,high,495,495,0,495,1.0,20.786382000096637,22.398444599957656,29.00166094006636,21.95384769293657,1.2618842636584304
34,high,515,515,0,515,1.0,20.933314000103564,22.88797890000751,28.15508291999324,21.618693475717645,1.2906604203635652
35,high,491,491,0,491,1.0,20.984713999951055,23.97226949983633,96.41257650027912,23.27286697964192,1.3588707311100734
36,high,510,510,0,510,1.0,21.130981999931464,24.93613360002201,50.59485241019048,23.64430497059313,19.969184915635218
37,high,486,486,0,486,1.0,20.813436500020543,27.76587150015075,31.833366699856903,21.62513837243309,4.861511462195267
38,high,505,505,0,505,1.0,20.72142699989854,22.51669339984801,26.403157920212816,20.97936919207953,1.2357869762126938
39,high,509,509,0,509,1.0,20.64898299977358,22.572121400116885,27.168724200055312,20.986056245595606,1.1801026642388024
40,high,501,501,0,501,1.0,20.752598000399303,22.794643999986874,26.619774000209873,21.09964664671583,1.3117385929035663
41,high,504,504,0,504,1.0,21.12593549986741,24.510483999756616,31.769434189882308,21.79039421230661,3.813447616153099
42,high,512,512,0,512,1.0,20.66431949992875,22.333991600112313,25.785189190064553,20.906672816405347,1.2494484501530676
43,high,515,515,0,515,1.0,20.624502000373468,22.30523540001741,27.82176967992201,20.924196326202203,1.1358374670180638
44,high,490,490,0,490,1.0,20.669516999987536,22.13266695009679,25.94830188999822,20.8875934163337,1.1963156061028712
45,high,501,501,0,501,1.0,20.785964999959106,23.532295000222803,29.24089499992988,21.182150167668354,1.2268048603800707
46,high,486,486,0,486,1.0,21.00906849977946,23.91235299978689,28.186231499830676,21.532299711921436,3.4025592890429834
47,high,496,496,0,496,1.0,20.729326500031675,22.146472749795976,24.70594024991897,20.888522647174838,1.2122392259925618
48,high,489,489,0,489,1.0,20.72095499988791,22.48027079986059,25.820718039758507,20.92332537217297,1.166127010856144
49,high,490,490,0,490,1.0,20.592811499909658,21.90685249984199,25.747360959944675,20.801621973456648,1.1775433743878239
50,high,504,504,0,504,1.0,20.696915499911483,22.376703850045487,27.598411939934543,20.956948642844424,1.1665061645544483
51,high,488,488,0,488,1.0,20.83686850005506,24.796362699908055,30.251969410023776,21.458535852459924,3.2859303830491617
52,high,490,490,0,490,1.0,21.08603700025924,24.08244469984311,50.27412974011898,21.89370758979767,1.5228567522171943
53,high,485,485,0,485,1.0,20.832196999890584,23.307663800005688,64.55685696012114,23.284213793816626,1.6272717524770997
54,high,509,509,0,509,1.0,20.664753999881214,22.867126200071652,25.817443560008545,20.91178044991802,1.1873639594341512
55,high,492,492,0,492,1.0,20.916051000085645,22.96376000015243,28.981395029895708,21.245167880066198,1.2886800576097808
56,high,487,487,0,487,1.0,20.878839000033622,23.782029400263127,30.064622799945923,21.385316821347605,2.4164285638562424
57,high,504,504,0,504,1.0,20.6753799998296,22.202326899787295,29.795916420284875,20.960706970243784,1.1758843341567626
58,high,507,507,0,507,1.0,20.74210499995388,22.50090369980171,26.422657900102422,21.00840606705897,1.243721595437819
59,high,504,504,0,504,1.0,20.77698149992102,22.465287299769443,25.770135989837403,21.02788382539497,1.2606155262801622
60,high,501,501,0,501,1.0,20.816107999962696,22.324168000068312,28.729853000186267,21.11092488622578,1.3008700220780156
61,high,501,501,0,501,1.0,20.85332800015749,24.606658999800857,31.659299000239116,21.46238583431814,3.861624642922834
62,high,507,507,0,507,1.0,20.62899100019422,22.379492199797824,25.058968339772036,20.869162704136162,1.2578279186527652
63,high,494,494,0,494,1.0,20.718740500115018,22.444458349855267,27.605019119800993,20.983545323875468,1.2122153465952579
64,high,510,510,0,510,1.0,20.935305999955744,23.010560049874584,27.095623619948135,21.262772607854583,1.343626986226809
65,high,506,506,0,506,1.0,20.869534499979636,22.708276249886694,31.47097085002313,21.230598251002974,1.2012437659905117
66,high,511,511,0,511,1.0,20.95709400009582,23.366998999790667,27.31690380014694,21.297146510780166,2.3904744482479146
67,high,512,512,0,512,1.0,20.812379500057432,22.55054215004293,25.713971600025612,21.011981810548086,1.2130420001312814
68,high,510,510,0,510,1.0,20.86469250002665,22.500008450037967,26.96026176025045,21.119524131370103,1.2451938636786508
69,high,501,501,0,501,1.0,20.803569000236166,22.617963000357122,44.83061599967186,21.440545431151964,1.327291564848565
70,high,501,501,0,501,1.0,20.93757700004062,23.31897799967919,30.428427000060765,22.109289237513604,1.7438580321140762
71,high,507,507,0,507,1.0,20.916209000006347,25.143876100082704,40.48163853989535,21.849372635110015,3.331684414024493
72,high,502,502,0,502,1.0,20.695183999805522,23.07729619979,26.27929663016403,21.03250873106805,2.8958993652622667
73,high,486,486,0,486,1.0,20.64639050013284,22.168937999822447,26.524732100006062,20.89435005966878,1.1505673251122062
74,high,513,513,0,513,1.0,20.680209000147443,21.98558000018238,27.115105839930035,20.915646588695537,1.1659308027446968
75,high,491,491,0,491,1.0,20.781485000043176,22.743735999938508,30.873758600228076,21.147654826877638,1.197373956301817
76,high,500,500,0,500,1.0,20.872664999842527,23.83623834998616,28.716306729943422,21.303198869981316,3.078109349758052
77,high,499,499,0,499,1.0,20.658680999986245,22.94263989992942,26.763202039764977,20.993527779572428,1.1857522621994578
78,high,488,488,0,488,1.0,20.69994849989598,22.248932449997483,27.340903030080874,20.95439709018003,1.2037874311545236
79,high,502,502,0,502,1.0,20.679586500136793,22.39129044983201,26.72076937005387,20.918082422314505,1.251952456982508
80,high,503,503,0,503,1.0,20.743424000102095,22.410046200093348,26.381848259588885,21.000416284290367,1.1883593207585363
81,high,509,509,0,509,1.0,20.898735000173474,24.45343360022889,39.69810223999965,21.65403700000716,3.11702593953669
82,high,503,503,0,503,1.0,20.76031900014641,22.69373320013983,25.870343980286634,21.417095266405706,1.3975143387597189
83,high,494,494,0,494,1.0,20.72121700007301,22.387122049940444,28.36433644995395,21.003468248986444,1.1942704931698245
84,high,502,502,0,502,1.0,20.66278899997087,22.39695625000877,27.721958320230446,20.989662159374088,1.2161664257746452
85,high,514,514,0,514,1.0,20.785988499937957,22.699283250108238,27.8555916800724,21.07295613424676,1.1961537807337663
86,high,504,504,0,504,1.0,20.99285300005249,24.25838325013956,61.13275851009806,22.67965884127823,3.2598821922874777
87,high,510,510,0,510,1.0,20.745224999927814,23.23789460003809,41.574666090155006,22.444951705879514,2.74491809914254
88,high,485,485,0,485,1.0,20.803032999992865,22.35581199984154,28.78365956004931,21.08287777113519,1.2186329155156275
89,high,506,506,0,506,1.0,20.682834000126604,21.986152250292434,26.564450949786075,20.90806956521587,1.2538095478475952
90,high,491,491,0,491,1.0,20.869359000244003,22.850942000104624,29.61572829999571,21.19154971690935,1.256820869684816
91,high,490,490,0,490,1.0,21.021133499971256,25.41019679981673,34.248140039972,21.75794673062228,3.8681912663150806
92,high,495,495,0,495,1.0,20.897153000078106,23.252218100242317,28.64295610026602,21.615579886878034,1.6467751951040557
93,high,490,490,0,490,1.0,20.80816550005693,23.22317565008234,29.934839329725953,21.218504014282466,1.3518135217736926
94,high,488,488,0,488,1.0,20.80347800006166,22.94630884987327,27.401522590093915,21.063649618855326,1.2066454715068173
95,high,491,491,0,491,1.0,20.851537999988068,23.477708499967775,30.659477699691706,21.2222130651729,1.2262765408195264
96,high,492,492,0,492,1.0,21.146263499986162,24.722041349878054,42.1811071997444,22.07091332520318,3.5894763676196813
97,high,492,492,0,492,1.0,20.936662999929467,23.139263500024754,27.37606737012808,21.225437806900274,1.4950408463619165
98,high,509,509,0,509,1.0,20.88725900011923,22.526142000060645,25.970231639676058,21.21897269351604,1.269064313146373
99,high,487,487,0,487,1.0,20.999130999825866,22.790811600043526,29.767401719891488,21.288647211502738,1.3668621945726045
100,high,491,491,0,491,1.0,20.921583000017563,23.13041100001101,27.64334139974381,21.235044364573124,1.2777217391430895
101,high,487,487,0,487,1.0,20.959929000127886,24.031284300053812,46.74488341976936,21.820441234080064,2.5253081927075973
102,high,500,500,0,500,1.0,20.712185999855137,24.135231200125418,26.585175569939558,21.146706465990064,3.863673950218072
103,high,492,492,0,492,1.0,20.717660000173055,22.25582590015165,25.892982770119474,20.94117790650438,1.236307345584464
104,high,501,501,0,501,1.0,20.650844000101642,22.60066700000607,46.49746799987042,21.777561628745545,1.1809709581029892
105,high,492,492,0,492,1.0,20.87640499985355,22.70166490002339,31.71438385987578,22.42657987600213,1.5417205152061793
106,high,491,491,0,491,1.0,20.993549000195344,23.880057999804194,27.44246010011012,21.319402617114612,2.8063003128409036
107,high,500,500,0,500,1.0,20.754043500119224,22.72885215022598,27.378927780359835,21.040357503999076,1.3901273997134924
108,high,487,487,0,487,1.0,20.746667999901547,22.215645699816378,27.154193100159294,21.030592969201454,1.2198660407648276
109,high,512,512,0,512,1.0,20.691642000201682,22.159366849859907,24.470630999994675,20.972171150384966,1.1786106999807089
110,high,502,502,0,502,1.0,20.75158350021411,22.550442850069885,28.32090568977038,21.066308661354096,1.2279914021974034
